original_idx,text,hatespeech_comb
80,Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando,0
81,Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó....,0
82,"Acho que a Morango tem um céu so pra ela rsrs Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",0
83,acho que a Simone depende mais do natal pra sobreviver que o Papai Noel,1
84,Acho que a veja aceitou que realmente não faz jornalismo,0
85,"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta",0
86,acho que nem vou gozar mais até #ESeFosseConsigo,0
87,acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo,0
88,Acho que tatuagem colorida só fica bonito em gente muito branca!!!,0
89,Acho que vou... ai que preguiça de dormir... xerus!,0
90,Acho que vou pegar carona com a e mimir,0
91,"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO",1
92,"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _",0
93,"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _",0
94,"A e a são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _",0
95,"Acima de tudo, uma vitória esmagadora da classe",0
96,"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)",0
97,A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb,1
98,A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber...,0
99,"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País.",0
100,Acorda pra trabalhar ae cambada de vagabundo,1
101,Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus.,0
102,quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _,1
103,"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _",0
104,a cota de negro aumentou nesse BBB né,1
105,"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo",1
106,Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _,0
107,A prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _,1
108,A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia?,1
109,ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE,1
110,a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma,0
111,A culpa é das estrelas vermelhas,0
112,A culpa é de não ter tirado antes,0
113,"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.
Ata.",0
114,eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!,1
115,"vdd... nem conheci mas já dei block.... 
pessoa assim quero longe",0
116,Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y,0
117,"Adeus #Obama! 
'Faça boa viagem!'.",0
118,Adicionei um vídeo a uma lista de reprodução do Angola & China vs EUA (A verdade que você não,0
119,Adicionei um vídeo a uma playlist 'Islão não é para mim',1
120,A diferença de quem tem vergonha na cara vs vagabundo,0
121,"A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar...",0
122,eu acho o msm sobre vc branquelo,1
123,quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil,1
124,vc quer q eu te chame de q? palmito?,0
125,Adivinha qual a esquerda demoniza e qual a esquerda apoia?,0
126,"adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio",0
127,"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",0
128,"Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs...",0
129,Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência,1
130,ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas...,0
131,"Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday",0
132,"Advogado e Deputado? Não pode ser!
 #RenovarPortugal #Portugal",0
133,"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador...",0
134,A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,0
135,#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D,0
136,"aeeeee dilma caiu
ja posso viajar pra miami agora?",0
137,"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal
#Oscars",0
138,A entrevista mais longa do Super Bowl com hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se!,0
139,A era em que 'homens' começam a usar cor de rosa,1
140,Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...,0
141,"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _",1
142,A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _,1
143,"A Esquerda é o próprio Zumbi dos Palmares:
Quer libertar os negros de uma escravidão pra escraviza-los em outra",1
144,A esquerda está morrendo de um Câncer terminal,1
145,"A esquerda fala muito sobre essas rebeliões e justificam a 'superlotação', mas não fala do motivo que fizeram eles irem pras prisões.",0
146,A esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema ...,0
147,A esquerda filha da puta como sempre,1
148,"A esquerda gosta de viver na sujeira, gosta do feio e idolatra a burrice. Pichação não é arte, é coisa de vagabundo _",0
149,"A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _",0
150,"A esquerdalha #comunista e #anarquista sempre foi, é, e será uma escumalha selvagem, carregada de ódio e violência _",0
151,"A esquerdalha (protegida pelo sistema e pelos media), no seu melhor, a mostrar a tolerância que defende.
#Nantes _",1
152,"A esquerda reclama das coisas inventadas pela própria esquerda:
Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes.",0
153,"A ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.
Felicito o _",0
154,"A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _",1
155,A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer,1
156,"6a feira é dia de 'Overdose de Tourette'.
E hoje a caravana pára na ERICEIRA.
Auditório Jaime Lobo e Silva, 22h.
Is _",0
157,A feminazi tem a cara de pau de pedir dinheiro em seu blog - mesmo ganhando uma boquinha de 11 mil - v _,1
158,"a feminista pode até dar a alma dela no primeiro encontro, mas por favor #usecamisinha , seja uma puta consciente!",1
159,"A e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa. 
Até pq ela certamente...",0
160,A Festa do Branco é um evento que promete marcar o Cruzeiro Diamantes 2017. Aqui estão algumas inspirações: _,0
161,Afffffff só por Deus eu te que fica olhando a funça da atual dá minha ex,1
162,Afff... N te dou mais nada http://t.co/hyBYnjtrab,0
163,aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara,1
164,Aff só por que não tem negro no oscar agora eles sao racista........ pfvr miga melhore,0
165,"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada?",1
166,"afinal, a privatização do ensino médio/superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país",1
167,AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO...,0
168,A força do sonho,0
169,A forma como você se vê não altera o que você é de fato!,0
170,"Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",0
171,"Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue",0
172,"ooowwww, amorrr, ja chegou???",0
173,Quero saber tudooo como foi o diaaaa!,0
174,"Sei lá, inventei agora.. #catita hahaha",0
175,#Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO.,0
176,Agenda actualizada para os próximos meses:,0
177,"#Agenda 11,12 e13 de Março/SP. #CongressoEvangelizarKids Informações:
Igreja Batista do Povo, _",0
178,#AgendaMaio Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão,0
179,"#Agenda Março 18 e 19.
 Simpósio sobre Ideologia de Gênero.",0
180,Agenda Março . Ideologia de Gênero.,1
181,"Agenda para os próximos tempos.
Bilhetes na FNAC e Ticketline",0
182,Agenda #SãoPaulo 11/03. Congresso Evangelizar KIDS. Igreja Batista do Povo.,0
183,Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.,0
184,"Agende seminário ou palestras para liderança, jovens e igreja geral sobre Ideologia de Gênero. 
Com 5 livros...",0
185,a gente mulher e um ser humano mais burra acreditar que ainda possa. ter amor verdadeiro,0
186,"a gente nao sabe se a mulher ta feliz de burca, nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc",0
187,o cara que escolhe foto é muito fanfarrão,0
188,A fazer greve...não trabalhar..É um alívio para o BRASIL... já que ela só faz atrapalhar o país mesmo. Devo _,1
189,"A globo mentiu para o futebol feminino. E a mulherada, como sempre iludida, acredita. Tudo normal",1
190,"A #globo só mostra as 'belezas e o amor' do carnaval.Mas, se quer saber a verdade, liga na que está mostrando tda Violência",0
191,"A Gloria Alvarez arrebenta!
O discurso dela na CPAC 2016 foi sensacional!",0
192,"2) O fato de o cidadão de bem passar a portar uma arma não o transformará em bandido.
Crime é questão de índole!",0
193,"Agora deu 'tilt' no , a AMEBA que teve a cara de pau de comparar Trump com Hugo Chavez.",1
194,agora é oficial: os dinossauros estão extintos,0
195,Agora é só umas gordas feias pra caralho,1
196,Agora não entendo mais nada branco não pode namorar com negra ? Ue ? Mais vão termina o colégio e pega uma vaga no Mac!!! Valeu,1
197,"Agora os novos refugiados já não são por causa da guerra, são até chamados 'refugiados económicos ', como sempre foram, não fugiram de nada",0
198,Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol,1
199,agora que a dilma vai sair quem assume é o aécio né??,0
200,"... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!",1
201,agora sim esse latinos imundos vão parar de tentar entrar nos EUA #Trump,1
202,Agora sim está correto abraço #paz,0
203,AGORA SIM EU ASSUMO http://t.co/UzOwKrxdOy,0
204,Agora sim pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE,0
205,"Agora sim LISBOA, estamos prontos para começar",0
206,Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN .,0
207,agora tudo é apropriação cultural não pode nem usar turbante mais,0
208,agora tudo faz sentido,0
209,Agora vc pensa: Uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho? Um absurdo.,1
210,"Agradece-se esse empurrão vindo do outro lado do Atlântico para dar o golpe de misericórdia na famigerada 
#BREXIT #PEXIT",0
211,A grande imprensa e a população esquerdista mostram o quão democráticos são ao sequer deixar Trump COMEÇAR a trabalhar!,0
212,A grande questão aqui é por que há tantos furos ilegais vindo de Washington? Haverão estes furos quando eu negociar _,0
213,"A greve dos Estivadores
 #PNR",0
214,"Aguarela com muitos anos.
#Salazar",0
215,água ser essencial é coisa de maricas. Cerveja é essencial !,1
216,"ahahaha ..as musas de direita destroem qualquer petista, como a gleisi hoffman",0
217,A hipocrisia esquerdista em sua mais alta essência aqui. Somos nós que temos ódio ? VAI DAÍ PORRA,1
218,ah lá o filho do porteiro passou no enem,0
219,"'ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora' TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA",1
220,"Ah, o perigo do Islão, e tal, e a civilização europeia, e não sei quê.",0
221,"Ah, porque o nacionalismo deste gajo é económico e é tão económico quanto o do PCP. Com a diferença de o PCP não querer Angola de volta.",0
222,"Ah, valente! E para a mortalidade infantil em Angola, não vai nada, oh isabel?",0
223,"'Ah você não tem dó dos presidiários'
Deles não tenho mesmo não, tenho das vítimas que fazem.",0
224,A identidade não se vende,0
225,A ideologia de gênero chegou no seu mais alto grau de insanidade. Qual é sua identidade de gênero? ALIENÍGENA..OK...,0
226,"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER",1
227,"“ai, luigi, mas vc ta militando? q saco”
.
pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco",1
228,"A imagem que define o que são esquerda e direita:
Esquerda = vagabundo mascarado.
Direita = patriota com a bandeir _",1
229,Ai meu deus como é bom ser vida loka,0
230,"A imprensa sempre do lado dos bandidos. 
Pra quem ainda tinha alguma dúvida:",0
231,"Aí não é ''suspeito'', né seus VAGABUNDOS!?!! É 'comprovado'. 
Mas se for bandido ATIRANDO contra PM em carro ROUB _",1
232,"Ainda a propósito do e afins, aqui ficam palavras alguém do próprio sistema: Pacheco Pereira. _",1
233,"Ainda bem q ontem a FIFA n atribuiu o prémio 'fair-play' à Chapecoense.
Temos de parar de premiar equipas cujos jogadores se atiram p o chão",0
234,ainda bem que eu sou sapatão e não preciso disso,0
235,"ainda bem que o crivella ganhou, imagina só o rio com droga legalizada, sem PM e aborto liberado???",0
236,Ainda bem que o STF soltou o goleiro BRUNO.. agora sabemos a FALTA de moral que tem.... caso do Bolsonaro é mais uma piada do STF #vergonha,0
237,"ainda bem que o trump ganhou imagina só o mundo sem nenhuma guerra e preconceito???? nossa muito chato 
NÓS QUER É BOMBA NA COREIA",0
238,ainda estou surpreendida com a cara de sapatão dessa camilinha,1
239,Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a . Serio! Saco! #boloderolofeelings,0
240,"ainda que eu falasse a lingua dos homens e dos anjos, usaria ambas pra denegrir sua imagem",0
241,"ainda tem tráfico pq tem gente que compra
se a compra voltasse a ser crime tudo estaria em harmonia",0
242,"'ain mas de repente nem foi assim'. Mano, pq vcs acham q eu postei isso sem ler o texto? É um apelo à meritocracia q nem diz o título.",0
243,"- 'Ain o Dória está indo bem nesse últimos 2 meses,se ele candidatar para presidente pelo PSDB em 2018 votaria nele _",0
244,A internet é nossa! As Feministas/e cia infiltradas nos órgãos da Justiça buscam combater essa crescente por meio da censura via justiça.,1
245,A intoxicação e mariquice mental da ditadura do relativismo anulam os valores e enfraquecem as vontades. Depois são _,0
246,Ai q gostoso a Cléo Pires fumando um e publicando na NET pq o privilégio branco e de classe eh tão lindo *_*,0
247,ai que saudade da ditadura............,1
248,ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha #MasterChefBR,0
249,ai tem muito preto no bbb nem vo assistir kkk,1
250,Aí #TheWalkingDead deixa de ser sobre zumbis e vira jogos mortais,0
251,Ai vc chega no colegio super cansada do trabalho e curso e encontra o grupinho das sapatao falando de ex. Se uma coisa que sapatao tem é ex.,1
252,A é sensacional!,0
253,e era de direita.... essa menina tem transtorno de personalidade ou algo pior...,0
254,"isso! A mulher não precisa ser obrigatoriamente feminista para ser mulher , porque a maioria não comp _",0
255,isso é coisa de seres humanos!,0
256,"Ju, você tá mais corada! Andou pegando uma praia!!!",0
257,me senti segura nesse dia,0
258,"nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil",1
259,Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco',0
260,Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk,1
261,"que nada, aqui na quebrada a molecada é arisca hahahahaha",0
262,que não é caso da brasileira..porque com 5 kg de cocaína..é o peso de um bulldogue frances,0
263,A Justiça tem que estar ao serviço de todos e não à mercê de privilégios de uns quantos.,1
264,"ALÔ FEMINISTA:
ATÉ A PORTELA VOLTOU
E O SEU PAI NADA",1
265,"ALÔ FEMINISTAS
ATÉ #JesusEstáVoltando
E O SEU PAI NÃO",1
266,"ALÔ FEMINISTAS:
ATÉ UM SISTEMA SOLAR RESOLVEU APARECER
E O SEU PAI NADA",1
267,"ALÔ RAPAZIADA HORA DE DESLIGAR DA REDE SOCIAL
AGORA É SABADÃO: CHURRASCÃO CERVEJÃO E MAIS TARDE PRATICAR AQUELE COITO. ABRAÇO A TODOS #PAZ",0
268,ALÔ RAPAZIADA: VAMOS RESPEITAR AS DONZELAS SEUS PORCOS BÊBADOS IMUNDOS #PAZ #CarnavalSemAssedio #usecamisinha,1
269,"A Lava-Jato chegou ao Foro de São Paulo e descobriu que Odebrecht dava dinheiro às FARC.
Que lindo trabalho da Pol _",0
270,"' Seu perfil fala mau de gente branca e eu sou racista? Coerência, cadê?' http://t.co/3LqJR2tN85",0
271,não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não,1
272,"racista-machista sem argumentos, é o que mais tem",0
273,vc devia calar a boca pq vc é tão racista quanto,1
274,"Tb não entendo.. Concordo com vc.,",0
275,"Além da tremenda baboseira, a quantidade de erros de português é absurda! Qq meio de comunicação sério teria vergon _",1
276,é uma questão de hábito,0
277,"por falar em abafar, sabes se o Jesus janta hoje com o Palhinha?",0
278,vamos ficar por aqui antes que fique excitado.,0
279,"#ALERTA do Jornalista #AlexandreGarcia
 Adquira os Livros 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO' e 'FAMÍLIAS EM...",0
280,"Deixa o chefe Olavo saber disso, rrsss... ST!",0
281,"#AlexandraParkClub
Este paraíso apenas 40min de Curitiba, no Litoral...
Faça seu Evento (Empresas, Igrejas,...",0
282,#AlexandredeMorais é novo ministro do #STF. Somente 13 senadores rejeitaram seu nome. 13 PESSOAL.KKK KKKKKKKKK,0
283,eu te amo!,0
284,"Melhor forma de ajudar os refugiados é levar a cultura ocidental pra lá, não o contrário! Só estão espalhando o problema.",1
285,"Alexandre Moraes não deveria sequer ter sido Ministro, agora ocupará uma cadeira no STF? Gsus",0
286,"Alexandres de Morais, é novo ministro do #STF. Somente 13 senadores votaram contra ele. 13 pessoal.kkkk",0
287,"Algarvios, a caravana está a caminho.
E o grego do Batáguas também.
Auditório Verde, 22h.
Bilhetes nos sítios do co _",0
288,Algo que incomoda extremamente a esquerda: uma MULHER que não se vende ao discurso barato politicamente correto do _,0
289,"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss",0
290,Alguem coloca uma FACA DE UM MUÇULMANO NO PEITO DA MERKEL...PQ É ISSO QUE ACONTECE PELA ALEMANHA,1
291,Alguém consegue ver #ThisIsUs sem chorar litros?,0
292,Alguém consegue ver um guarda-chuva amarelo e não lembrar de how I met your mother?,0
293,alguém faz a adaptação com a foto da Dilma e os 12 milhões de desempregados!!!!,0
294,Alguém por favor pode passar isso na TL do e dizer que é bom saber como a Esquerda gosta do debate demo _,0
295,Alguém sabe me dizer se mulher negra se aposenta com idade diferente da mulher branca?,1
296,Alguém sabe se o Habibs já abriu falência com o boicote por causa do menino que morreu de tanto usar droga?,0
297,ALGUÉM TEM QUE AVISA ESSA MOLECADA QUE CARNAVAL NÃO Ê SÓ BEBEDERA E PUTARIA SEM PRESERVATIVO COM ESTRANHOS. ONDE FICA O RESPEITO AO PRÓXIMO?,1
298,Alguém topa uma com a cabeça do empalada? Dê fav pra testar,0
299,Algumas razões para explicar o Fenômeno Bolsonaro,0
300,"Alias, isso é uma coisa que algumas mulheres também não sabem e ficam achando que por não gozar com penetração tem algum problema. NÃO TEM!",0
301,"Aliás, o universo da publicidade é repleto de bundões !!!!",0
302,"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!",0
303,"Aliás, qualquer reunião a base de violão é um local propicio para um massacre de serra elétrica! E eu apoio.",1
304,"Aliás, quem é essa porra de Felipe Neto? Não sei, mas só de ser Neto já imagino que fracassou!",1
